opentime,open,high,low,close,volume,closetime,volume_U,num_trade,taker_buy,taker_buy_volume_U,ignore
2024-05-29 13:01:00,67927.9,67947.5,67860.0,67947.4,236.739,2024-05-29 13:01:59,16076045.7152,2822,79.272,5383688.6433,0.0
2024-05-29 13:02:00,67947.5,67968.0,67919.7,67919.8,67.696,2024-05-29 13:02:59,4599796.6449,1428,44.749,3040673.8576,0.0
2024-05-29 13:03:00,67919.8,67946.8,67893.8,67946.8,103.853,2024-05-29 13:03:59,7053141.6293,1442,61.576,4181831.3471,0.0
2024-05-29 13:04:00,67946.8,67990.8,67946.8,67990.8,112.262,2024-05-29 13:04:59,7630680.1012,1751,84.021,5710924.4983,0.0
2024-05-29 13:05:00,67990.7,68028.0,67973.0,68008.0,177.007,2024-05-29 13:05:59,12036212.6454,2239,108.174,7355646.2242,0.0
2024-05-29 13:06:00,68007.3,68027.1,67980.2,67985.4,97.046,2024-05-29 13:06:59,6599257.0451,1725,26.194,1781275.9695,0.0
2024-05-29 13:07:00,67985.4,68023.0,67977.2,68000.0,67.369,2024-05-29 13:07:59,4581087.4603,1332,28.69,1951022.9387,0.0
2024-05-29 13:08:00,68000.0,68020.0,67991.5,68019.9,61.206,2024-05-29 13:08:59,4162647.3835,1034,43.746,2975207.4535,0.0
2024-05-29 13:09:00,68019.9,68020.0,67996.7,67996.7,66.965,2024-05-29 13:09:59,4554374.4139,1156,9.557,649989.5703,0.0
2024-05-29 13:10:00,67996.7,68010.9,67993.2,67997.4,104.952,2024-05-29 13:10:59,7137105.6777,1182,54.47,3704105.0351,0.0
2024-05-29 13:11:00,67997.4,68014.0,67992.4,68009.7,26.848,2024-05-29 13:11:59,1825719.9773,906,13.956,949047.153,0.0
2024-05-29 13:12:00,68009.7,68042.0,68009.2,68025.0,140.59,2024-05-29 13:12:59,9564432.7904,2021,92.762,6310550.8049,0.0
2024-05-29 13:13:00,68025.0,68241.4,68025.0,68233.4,1544.49,2024-05-29 13:13:59,105284757.4107,13567,1166.055,79477476.4901,0.0
2024-05-29 13:14:00,68233.4,68304.9,68199.4,68236.4,858.274,2024-05-29 13:14:59,58576492.638,9842,512.102,34953152.7146,0.0
2024-05-29 13:15:00,68236.4,68330.6,68191.2,68278.6,798.619,2024-05-29 13:15:59,54528260.4193,7799,424.209,28965438.1259,0.0
2024-05-29 13:16:00,68278.7,68292.0,68173.3,68173.3,288.361,2024-05-29 13:16:59,19677178.2685,3599,84.782,5785696.4458,0.0
2024-05-29 13:17:00,68173.4,68185.6,68097.6,68097.6,416.452,2024-05-29 13:17:59,28379646.0646,5686,159.211,10850249.6551,0.0
2024-05-29 13:18:00,68097.5,68139.9,68034.1,68055.6,356.949,2024-05-29 13:18:59,24306079.0915,4514,129.766,8837713.8413,0.0
2024-05-29 13:19:00,68055.6,68074.6,67833.9,67859.9,817.324,2024-05-29 13:19:59,55543300.5394,8965,188.762,12831867.9641,0.0
2024-05-29 13:20:00,67859.9,67891.2,67704.0,67824.6,1409.174,2024-05-29 13:20:59,95507357.4235,12933,576.469,39072790.4135,0.0
2024-05-29 13:21:00,67824.5,67980.2,67796.8,67928.6,615.97,2024-05-29 13:21:59,41822910.9866,6193,412.2,27989046.6577,0.0
2024-05-29 13:22:00,67928.5,67949.8,67860.6,67879.4,287.936,2024-05-29 13:22:59,19551644.6656,3954,112.632,7648983.5253,0.0
2024-05-29 13:23:00,67879.3,67918.4,67854.0,67893.9,145.964,2024-05-29 13:23:59,9910129.4879,2109,86.416,5867183.0631,0.0
2024-05-29 13:24:00,67893.9,67920.0,67873.1,67880.8,249.044,2024-05-29 13:24:59,16909996.146,2258,146.337,9936018.5769,0.0
2024-05-29 13:25:00,67880.8,67930.0,67857.2,67901.5,207.224,2024-05-29 13:25:59,14071329.1472,2554,124.408,8447935.6048,0.0
2024-05-29 13:26:00,67901.6,67907.6,67808.0,67878.8,124.512,2024-05-29 13:26:59,8448366.3053,2699,43.036,2920359.5687,0.0
2024-05-29 13:27:00,67878.8,67879.2,67830.4,67870.2,128.472,2024-05-29 13:27:59,8717582.3424,2490,53.903,3657728.8836,0.0
2024-05-29 13:28:00,67870.1,67900.0,67841.6,67879.0,189.653,2024-05-29 13:28:59,12872907.7527,2575,122.246,8297883.5075,0.0
2024-05-29 13:29:00,67879.0,67916.5,67869.2,67869.2,102.589,2024-05-29 13:29:59,6965029.3802,1836,48.559,3296956.9248,0.0
2024-05-29 13:30:00,67869.2,67932.1,67844.2,67914.7,207.829,2024-05-29 13:30:59,14109419.7136,3372,95.829,6505857.7791,0.0
2024-05-29 13:31:00,67914.8,67923.7,67774.0,67774.0,260.89,2024-05-29 13:31:59,17697369.5552,3748,63.052,4279403.5831,0.0
2024-05-29 13:32:00,67774.0,67894.8,67771.3,67816.9,335.917,2024-05-29 13:32:59,22787486.3079,4596,225.745,15313124.2498,0.0
2024-05-29 13:33:00,67816.5,67894.8,67805.1,67880.4,246.462,2024-05-29 13:33:59,16722424.9574,3375,160.701,10903233.8944,0.0
2024-05-29 13:34:00,67880.4,67880.4,67713.5,67730.0,419.867,2024-05-29 13:34:59,28450658.6641,4950,120.824,8185117.8115,0.0
2024-05-29 13:35:00,67729.9,67823.5,67722.0,67792.4,262.139,2024-05-29 13:35:59,17765267.8319,3614,161.963,10976184.509,0.0
2024-05-29 13:36:00,67792.4,67804.7,67700.2,67704.0,406.722,2024-05-29 13:36:59,27553185.8488,4184,131.82,8930304.8303,0.0
2024-05-29 13:37:00,67704.0,67800.0,67654.7,67774.0,462.724,2024-05-29 13:37:59,31331398.7177,6067,149.979,10157663.326,0.0
2024-05-29 13:38:00,67773.9,67852.0,67752.6,67844.1,200.471,2024-05-29 13:38:59,13592110.9795,3120,89.454,6065272.3082,0.0
2024-05-29 13:39:00,67844.1,67979.5,67844.1,67970.0,544.875,2024-05-29 13:39:59,37024656.886,5957,371.435,25239497.4897,0.0
2024-05-29 13:40:00,67970.0,67970.1,67903.4,67950.7,257.777,2024-05-29 13:40:59,17513270.0582,3583,84.839,5764130.6245,0.0
